file,word,n
10-19-20,you’re,25
10-20-20,vote,25
10-22-20,you’re,25
10-24-20,time,25
10-25-20,hampshire,25
10-25-20,what’s,25
10-29-20,you’re,25
10-31-20,he’s,25
11-26-20,thousands,25
12-02-20,voters,25
01-04-21,he’s,24
01-04-21,president,24
01-04-21,vote,24
01-12-21,border,24
02-28-21,lot,24
07-14-20,that’s,24
07-22-20,people,24
07-31-20,job,24
08-03-20,people,24
08-04-20,people,24
08-17-20,biden,24
08-17-20,time,24
08-19-20,we’re,24
08-20-20,american,24
08-28-20,china,24
08-31-20,it’s,24
09-08-20,american,24
09-16-20,i’m,24
09-18-20,country,24
09-22-20,job,24
09-22-20,she’s,24
09-22-20,time,24
09-22-20,win,24
09-22-20,won,24
09-29-20,country,24
09-30-20,time,24
10-13-20,time,24
10-14-20,american,24
10-16-20,president,24
10-20-20,time,24
10-21-20,world,24
10-22-20,didn’t,24
10-22-20,that’s,24
10-23-20,they’re,24
10-25-20,deal,24
10-25-20,won,24
10-28-20,country,24
10-29-20,biden,24
11-01-20,country,24
11-01-20,job,24
11-02-20,michigan,24
12-06-20,president,24
01-04-21,i’m,23
01-19-21,america,23
02-28-21,china,23
02-28-21,countries,23
07-16-20,we’re,23
07-21-20,it’s,23
07-28-20,people,23
07-30-20,we’re,23
08-03-20,they’re,23
08-12-20,country,23
08-12-20,school,23
08-15-20,he’s,23
08-17-20,he’s,23
08-28-20,time,23
08-31-20,left,23
08-31-20,they’re,23
08-31-20,we’re,23
09-01-20,that’s,23
09-08-20,north,23
09-10-20,i’m,23
09-10-20,joe,23
09-10-20,time,23
09-12-20,it’s,23
09-13-20,american,23
09-13-20,country,23
09-14-20,hispanic,23
09-14-20,they’re,23
09-16-20,distribution,23
09-16-20,don’t,23
09-17-20,american,23
09-17-20,job,23
09-17-20,joe,23
09-18-20,texas,23
09-18-20,win,23
09-19-20,country,23
09-21-20,didn’t,23
09-21-20,lot,23
09-22-20,america,23
09-22-20,guy,23
10-09-20,time,23
10-10-20,we’re,23
10-14-20,didn’t,23
10-14-20,time,23
10-14-20,world,23
10-15-20,that’s,23
10-16-20,david,23
10-16-20,left,23
10-16-20,remember,23
10-17-20,incredible,23
10-17-20,vote,23
10-18-20,joe,23
10-20-20,country,23
10-21-20,country,23
10-21-20,lot,23
10-24-20,he’s,23
10-24-20,president,23
10-24-20,we’ve,23
10-27-20,don’t,23
10-28-20,joe,23
10-28-20,vote,23
10-29-20,china,23
10-29-20,time,23
11-01-20,biden,23
11-02-20,job,23
11-02-20,win,23
11-03-20,we’re,23
11-26-20,you’re,23
12-06-20,happen,23
12-06-20,kelly,23
12-06-20,votes,23
01-04-21,they’re,22
02-28-21,administration,22
07-13-20,job,22
07-14-20,job,22
07-24-20,jim,22
07-27-20,it’s,22
07-27-20,we’re,22
07-28-20,we’re,22
07-29-20,texas,22
08-06-20,we’re,22
08-10-20,country,22
08-19-20,it’s,22
08-20-20,country,22
08-20-20,pennsylvania,22
08-20-20,you’re,22
08-28-20,hampshire,22
08-28-20,job,22
08-31-20,don’t,22
08-31-20,law,22
09-08-20,left,22
09-17-20,time,22
09-17-20,wisconsin,22
09-17-20,world,22
09-18-20,beautiful,22
09-18-20,hell,22
09-19-20,left,22
09-21-20,biden,22
09-21-20,trump,22
09-22-20,didn’t,22
09-22-20,energy,22
09-22-20,lot,22
09-24-20,florida,22
09-24-20,you’re,22
10-08-20,people,22
10-09-20,world,22
10-13-20,american,22
10-13-20,fracking,22
10-13-20,guy,22
10-13-20,joe,22
10-13-20,left,22
10-13-20,remember,22
10-16-20,america,22
10-16-20,she’s,22
10-17-20,joe,22
10-17-20,president,22
10-18-20,call,22
10-18-20,hell,22
10-18-20,president,22
10-18-20,what’s,22
10-19-20,don’t,22
10-20-20,joe,22
10-23-20,america,22
10-23-20,love,22
10-24-20,you’re,22
10-25-20,world,22
10-31-20,vote,22
11-01-20,guy,22
11-02-20,vote,22
11-02-20,you’re,22
11-20-20,drugs,22
11-25-20,people,22
12-02-20,vote,22
12-06-20,he’s,22
12-06-20,history,22
02-28-21,deal,21
07-14-20,united,21
07-21-20,people,21
07-21-20,that’s,21
08-05-20,they’re,21
08-05-20,we’re,21
08-10-20,we’ve,21
08-14-20,don’t,21
08-15-20,we’re,21
08-17-20,lot,21
08-31-20,people,21
09-04-20,they’re,21
09-04-20,we’ve,21
09-08-20,remember,21
09-10-20,guy,21
09-12-20,people,21
09-13-20,joe,21
09-17-20,love,21
09-18-20,10,21
09-18-20,ago,21
09-18-20,doesn’t,21
09-18-20,i’ve,21
09-18-20,won,21
09-19-20,america,21
09-19-20,night,21
09-22-20,president,21
09-25-20,you’re,21
09-30-20,biden,21
09-30-20,he’s,21
09-30-20,lot,21
10-09-20,i’ll,21
10-14-20,love,21
10-14-20,money,21
10-14-20,we’ve,21
10-15-20,lot,21
10-16-20,didn’t,21
10-17-20,china,21
10-17-20,deal,21
10-18-20,can’t,21
10-18-20,win,21
10-20-20,china,21
10-20-20,that’s,21
10-21-20,carolina,21
10-23-20,villages,21
10-24-20,biden,21
10-24-20,won,21
10-25-20,million,21
10-28-20,american,21
10-29-20,america,21
10-29-20,can’t,21
10-29-20,lot,21
10-29-20,love,21
10-29-20,what’s,21
10-29-20,win,21
11-26-20,that’s,21
12-02-20,that’s,21
12-03-20,notre,21
01-12-21,it’s,20
02-28-21,republican,20
07-20-20,it’s,20
